,SHAPE
0,16.37707546856041 48.20540375484239
1,16.375486699695056 48.20765918040526
2,16.380887045607917 48.209119592444345
3,16.376612135312403 48.20388271479483
4,16.372126410628756 48.20773807292605
5,16.364016318383513 48.209039486535424
6,16.374899308991342 48.206621022594014
7,16.374642964569254 48.206560584360496
8,16.379301304121434 48.20709412701077
9,16.37016011986032 48.20152812996441
10,16.367986185338943 48.20221106922261
11,16.363307659219235 48.20293118904866
12,16.36455602966732 48.2023127825667
13,16.371610174795055 48.21008456421094
14,16.37584636344651 48.20474021619675
15,16.35624190932991 48.20824916640453
16,16.366896622658256 48.20510655556768
17,16.370053718422227 48.20133849417384
18,16.37499726469923 48.20521220103509
19,16.365010077340354 48.21406150198658
20,16.372470660335193 48.209764766439676
21,16.37312887966514 48.20125227366939
22,16.372584018002627 48.21023957242344
23,16.366166920746053 48.21089784281291
24,16.37312887966514 48.20125227366939
25,16.373964999102135 48.20525724169269
26,16.357155177061713 48.20918600653284
27,16.37433414340289 48.21246077799948
28,16.375114318335918 48.211426206549376
29,16.366166920746053 48.21089784281291
30,16.370191710757663 48.20250820278739
31,16.372529888266385 48.20562507821595
32,16.366166920746053 48.21089784281291
33,16.37084879196947 48.20137198144498
34,16.364424110566794 48.21364697071295
35,16.36238543512131 48.21026852392867
36,16.36968584287064 48.2014213398538
37,16.37210057072035 48.20984069564449
38,16.376612135312403 48.20388271479483
39,16.364223616149403 48.213397188457506
40,16.365475361343208 48.210502014123364
41,16.355442060357213 48.20793903743719
42,16.369939043394634 48.205542771881674
43,16.37340259364041 48.2113180462303
44,16.372602018912335 48.211525506647675
45,16.36539123144771 48.21373135476969
46,16.372020195483003 48.20148871360425
47,16.368048746296193 48.202002768674035
48,16.371956436467745 48.205935614493065
49,16.35537418494093 48.20812358969695
50,16.38175307611958 48.209975586271426
51,16.359998554942575 48.20512672057086
52,16.365413081273406 48.20933717453733
53,16.3706058722747 48.215880085105425
54,16.36413876257338 48.20245089416971
55,16.35554384067272 48.20882386318178
56,16.372020195483003 48.20148871360425
57,16.372020195483003 48.20148871360425
58,16.374829984389915 48.21175167711636
59,16.370485894948064 48.201454828181056
60,16.371431221321192 48.20440252205709
61,16.364401931016165 48.211488065421605
62,16.37324537761838 48.20676779820609
63,16.366387795151034 48.20897035856849
64,16.373403170138737 48.20970205498283
65,16.372833172633314 48.2111371060596
66,16.36858630210699 48.20218634986176
67,16.370739829805185 48.213707576780266
68,16.37143729026925 48.21068824213069
69,16.36757155428879 48.206976609113255
70,16.365920023278882 48.21113739637992
71,16.371486647381275 48.207918135858336
72,16.379076099412647 48.20741301026649
73,16.37150513464532 48.20995140703093
74,16.37177344538658 48.21075603719161
75,16.356815462276785 48.20621911469269
76,16.370827063081617 48.204455496206904
77,16.35961027429308 48.206579116211486
78,16.35961027429308 48.206579116211486
79,16.356659542356116 48.20792992321048
80,16.376025785315576 48.204504891292345
81,16.372914975500404 48.201923793079345
82,16.36870151724148 48.20164222687027
83,16.356937736388648 48.20815785133416
84,16.372522283641636 48.21502083372247
85,16.36524863020702 48.202630609819586
86,16.373524340873306 48.204078553846614
87,16.379826648994534 48.207023950489216
88,16.3572976558888 48.2108389768662
89,16.372837788534525 48.20648770024676
90,16.356313378723765 48.2079736016166
91,16.372235248859678 48.20811071785587
92,16.37130654570935 48.21015561398987
93,16.370673243965914 48.21399051243607
94,16.37279101189449 48.20994165125727
95,16.373331201198773 48.206377824336094
96,16.37212243597374 48.215395139136774
97,16.371623567642924 48.20434769409147
98,16.369306227336306 48.20540850752256
99,16.375222352046457 48.20451514976045
100,16.372576810815282 48.2021677072349
101,16.37395638983399 48.20544142576409
102,16.367029159809636 48.20223003632552
103,16.37317813039638 48.21109041056556
104,16.36302915985916 48.2108561717449
105,16.367689641189408 48.21703242358119
106,16.37146334649784 48.20123105015806
107,16.35704205205931 48.20892666273833
108,16.36302915985916 48.2108561717449
109,16.369313620170484 48.215603305443
110,16.355576792621164 48.208959687593925
111,16.358607978592584 48.20572082344356
112,16.37339340867746 48.210898335840504
113,16.36903447210922 48.20815412644098
114,16.37183137966222 48.20428521675984
115,16.373252379915186 48.210686051632194
116,16.368051935513755 48.20200205372615
117,16.366488205975067 48.21404502335782
118,16.371596880470754 48.205835181730315
119,16.380265036518885 48.20786752706179
120,16.36879984356388 48.20542996646921
121,16.360551341026145 48.20574788609936
122,16.360551341026145 48.20574788609936
123,16.369074160810523 48.21549347729685
124,16.37321700930572 48.20996318828699
125,16.37157826925537 48.21044933892573
126,16.379691764927177 48.20788896969725
127,16.368255751112976 48.21528677514981
128,16.37246253189048 48.21139820688739
129,16.355527110146287 48.20834353815897
130,16.372898853866566 48.20928520185004
131,16.372141393911615 48.20588870201502
132,16.371109804037708 48.203590711794284
133,16.35798324038036 48.20585152549237
134,16.36827111050147 48.21725250611983
135,16.364880737598558 48.2027133501766
136,16.370509237420222 48.213823642199614
137,16.373729372518337 48.20996419099147
138,16.372488204128288 48.20055631920291
139,16.371555644255732 48.208273526682476
140,16.366541250184717 48.209092266127215
141,16.363998439509064 48.21328446837956
142,16.37361167258928 48.21055904078271
143,16.363215530093658 48.20323248392857
144,16.369973346978288 48.21554375796904
145,16.376901467703174 48.20416104285249
146,16.362660885163134 48.20302576901057
147,16.371312139320104 48.21616100962713
148,16.367938453634668 48.21507255519665
149,16.367060991313114 48.20495293056504
150,16.381602244669814 48.21012529315922
151,16.374940840676764 48.20478558149706
152,16.35777101652921 48.20571594781878
153,16.3708417979864 48.2163069324793
154,16.37300632113698 48.20567411932793
155,16.37270919722947 48.21162952409352
156,16.36220473614836 48.210801323185414
157,16.36962498263941 48.205465342212264
158,16.35981698501507 48.20670300041655
159,16.372628653652185 48.21227337389206
160,16.37135234466345 48.2035599708415
161,16.37251638402122 48.20137470334002
162,16.376645763287534 48.20532606172024
163,16.368300413745633 48.20173254190215
164,16.368328226183817 48.2070437535349
165,16.3633004305638 48.21113939425145
166,16.381994352242188 48.20955685599356
167,16.368536788879993 48.201962432410284
168,16.37203309244014 48.21474606510506
169,16.373692232891923 48.20535859483967
170,16.376173582847592 48.20408773407919
171,16.363547492933478 48.21320237883889
172,16.370389446256503 48.201263481010315
173,16.374791131270978 48.21161661210432
174,16.372095916201527 48.20434592852016
175,16.366012127513514 48.20983181106295
176,16.371676986346955 48.203582353995934
177,16.372676450390898 48.20418332778487
178,16.367928499831375 48.20182041929169
179,16.3706620822321 48.20179166180744
180,16.37546227479433 48.20440130362428
181,16.356079580819113 48.20772794763557
182,16.36606877410402 48.214317432468036
183,16.371736767188125 48.20598172803841
184,16.373075607873247 48.21053763057102
185,16.379149753322988 48.20812641493555
186,16.37325552485376 48.201819542013396
187,16.37268951707353 48.20582538310697
188,16.371904228238193 48.208243471326156
189,16.35657717287793 48.20887170785095
190,16.368787861002865 48.21536243799132
191,16.373511406612593 48.20072408357291
192,16.3667563536532 48.209482065044064
193,16.355495402462893 48.208680280218125
194,16.35683738392483 48.2085351350197
195,16.37902234007491 48.20780423544988
196,16.37187323624994 48.211463322609355
197,16.370509183346133 48.21615297877251
198,16.372018745414618 48.20422760177823
199,16.369743148096436 48.20162223188425
