# VRP parameters: V = num of vehicles, L = max_load, T = max_tour_length
V 3
L 15
T 1000

# carrier depots: C x y
# one line per carrier, number of carriers defined by number of lines
C 200 0
C 100 173
C -99 173
C -200 0
C -100 -173
C 100 -173

# requests: carrier_index pickup_x pickup_y delivery_x delivery_y revenue
# carrier_index = line index of carriers above
0 144 -25 200 0 132.654 4
0 200 2 100 91 277.739 7
0 222 86 235 -76 335.042 8
0 217 -42 202 -22 60 6
0 239 106 180 -52 347.313 4
0 177 52 239 93 158.661 6
0 303 33 260 -16 140.384 7
0 125 -5 231 -77 266.281 3
0 150 -38 247 33 250.416 10
0 108 3 322 55 450.454 2
0 204 -22 105 -53 217.48 3
0 199 0 159 -1 90.025 8
0 208 36 245 -62 219.504 1
0 235 36 189 -140 373.824 10
0 211 -35 159 14 152.899 4
1 36 274 99 216 181.266 7
1 25 93 57 167 171.245 1
1 -8 119 152 261 437.85 7
1 140 299 69 210 237.702 3
1 71 244 86 303 131.754 7
1 94 293 54 199 214.313 2
1 99 173 130 263 200.379 9
1 2 135 128 182 278.961 8
1 17 216 12 110 222.236 10
1 228 115 110 132 248.437 3
1 195 184 109 117 228.037 1
1 98 181 227 98 316.79 3
1 98 175 37 261 220.874 4
1 168 89 160 124 81.8053 8
1 90 173 90 259 182 6
2 -74 183 -87 184 36.0768 10
2 -140 217 -28 160 261.34 3
2 -125 116 -99 173 135.3 3
2 -114 104 -147 216 243.521 9
2 -170 127 -148 230 220.647 10
2 -120 310 -161 141 357.805 8
2 -103 172 -83 68 221.811 4
2 -85 113 -136 206 222.132 7
2 -179 115 -111 135 151.76 2
2 -224 114 20 217 539.698 3
2 -58 158 -147 182 194.358 10
2 -131 44 -208 246 442.356 4
2 -52 55 -233 229 512.143 2
2 -201 100 -150 122 121.086 10
2 -76 150 -161 110 197.883 5
3 -266 75 -156 24 252.495 8
3 -208 56 -186 5 121.086 9
3 -124 97 -231 -48 370.411 5
3 -170 35 -269 -86 322.679 6
3 -192 48 -126 11 161.327 1
3 -160 -49 -226 0 174.402 4
3 -255 -2 -135 -79 295.16 7
3 -123 9 -189 3 142.544 2
3 -185 -109 -220 4 246.592 1
3 -208 72 -165 -58 283.854 7
3 -138 71 -293 99 325.017 4
3 -76 -52 -183 15 262.492 3
3 -210 1 -241 24 87.201 1
3 -201 -34 -184 -50 56.6905 7
3 -230 7 -209 12 53.1741 2
4 -198 -160 -175 -241 178.404 6
4 -115 -170 -101 -175 39.7321 6
4 -163 -73 -157 -128 120.653 5
4 -149 -211 -126 -184 80.9366 8
4 -67 -281 -134 -233 174.839 7
4 -81 -232 -18 -249 140.507 6
4 -183 -218 -100 -137 241.948 7
4 -146 -146 -95 -187 140.874 10
4 -52 -264 -180 -95 434.005 4
4 -112 -188 -127 -182 42.311 8
4 -103 -173 -47 -165 123.137 5
4 3 -180 -191 -71 455.048 6
4 -181 -124 -102 -173 195.925 3
4 -58 -209 14 -117 243.649 6
4 -51 -180 -196 -254 335.583 5
5 3 -192 82 -76 290.692 8
5 152 -262 186 -227 107.591 5
5 192 -278 135 -206 193.663 5
5 208 -118 59 -195 345.44 4
5 77 -65 123 -267 424.343 1
5 243 -181 199 -78 234.009 8
5 117 -80 214 -97 206.957 9
5 86 -192 111 -87 225.87 7
5 235 -111 139 -292 419.766 9
5 91 -177 170 -146 179.729 9
5 -20 -109 205 -264 556.443 5
5 133 -137 180 -239 234.615 4
5 61 -218 177 -173 258.845 2
5 80 -43 13 -79 162.118 5
5 188 -189 36 -136 331.95 10
