# VRP parameters: V = num of vehicles, L = max_load, T = max_tour_length
V 3
L 15
T 1750

# carrier depots: C x y
# one line per carrier, number of carriers defined by number of lines
C -200 -100
C -200 100
C 0 -100
C 0 100
C 200 -100
C 200 100

# requests: carrier_index pickup_x pickup_y delivery_x delivery_y revenue
# carrier_index = line index of carriers above
0 -253 -133 -169 -223 256.219 4
0 -425 59 -132 -247 857.313 7
0 -186 -94 -455 -145 557.584 8
0 -252 100 -274 77 73.6553 6
0 -347 -225 -59 -275 594.616 4
0 -375 -94 -340 -213 258.081 6
0 -200 -100 -200 -100 10 7
0 -153 -159 -279 -300 388.19 3
0 -30 -34 -335 105 680.361 10
0 -132 -300 -71 -97 433.934 2
0 -199 -287 -268 -59 486.424 3
0 -188 129 -150 -79 432.885 8
0 -413 -121 -285 -250 373.456 1
0 -130 -52 -199 -105 184.011 10
0 -214 -286 -143 34 665.564 4
1 32 264 34 123 292.028 7
1 -195 -51 -205 102 316.653 1
1 -134 105 -388 -81 639.641 7
1 -192 93 -171 133 100.355 3
1 -371 190 -397 159 90.9197 7
1 -176 63 -186 100 86.6551 2
1 -98 207 -24 84 297.089 9
1 -268 212 -102 216 342.096 8
1 -225 169 -382 59 393.401 10
1 -267 100 -151 314 496.835 3
1 -216 75 -302 142 228.037 1
1 -408 -18 -314 -71 225.824 3
1 -434 259 -118 231 644.476 4
1 10 239 -102 249 234.891 8
1 -63 37 -115 121 207.585 6
2 -58 56 -44 -209 540.739 10
2 -202 -62 78 -64 570.014 3
2 -127 -20 -78 -218 417.946 3
2 -37 -44 55 9 222.349 9
2 57 -70 0 -100 138.825 10
2 43 24 17 -217 494.797 8
2 176 -169 -29 -65 469.743 4
2 -9 -117 -127 58 432.133 7
2 -2 -109 123 -185 302.582 2
2 166 -75 -150 -44 645.034 3
2 167 -92 -27 -112 400.056 10
2 133 -1 -16 -299 676.348 4
2 -124 -39 -125 9 106.021 2
2 125 -255 -2 -94 420.122 10
2 -97 10 144 2 492.265 5
3 -162 282 88 132 593.095 8
3 -67 229 -69 110 248.034 9
3 -59 -64 -35 -146 180.88 5
3 53 370 92 163 431.284 6
3 143 52 116 280 469.186 1
3 4 18 -90 -41 231.964 4
3 -159 -141 22 374 1101.76 7
3 205 218 -10 291 464.11 2
3 31 -36 -137 313 784.661 1
3 120 32 -147 -11 550.881 7
3 136 61 133 -67 266.07 4
3 -181 -18 93 18 562.71 3
3 -230 135 160 108 791.867 1
3 22 116 -46 -143 545.556 7
3 -25 -3 -95 323 676.861 2
4 170 -204 302 -31 445.215 6
4 324 43 466 -94 404.629 6
4 196 -68 336 -93 294.429 5
4 162 -86 360 136 604.939 8
4 -49 -74 294 183 867.2 7
4 186 155 200 -167 654.608 6
4 201 -121 481 -103 571.156 7
4 185 -138 13 -253 423.807 10
4 53 15 216 -102 411.288 4
4 354 -266 277 -282 167.29 8
4 210 -50 199 6 124.14 5
4 240 -148 107 -308 426.12 6
4 73 60 155 -154 468.345 3
4 166 73 412 -218 772.094 6
4 13 -247 207 -287 406.162 5
5 423 4 200 102 497.167 8
5 123 -1 155 -9 75.9697 5
5 200 -188 42 132 723.762 5
5 322 222 268 -131 724.213 4
5 133 169 353 -23 594 1
5 59 354 301 87 730.702 8
5 410 205 55 333 764.742 9
5 26 80 218 37 403.512 7
5 210 215 384 198 359.657 9
5 6 97 222 379 720.436 9
5 367 201 157 -16 613.95 5
5 133 -53 187 210 546.973 4
5 281 225 334 234 117.517 2
5 192 95 230 161 162.315 5
5 340 279 211 236 281.956 10
