# VRP parameters: V = num of vehicles, L = max_load, T = max_tour_length
V 3
L 10
T 2150

# carrier depots: C x y
# one line per carrier, number of carriers defined by number of lines
C 100 173
C -100 173
C 0 0

# requests: carrier_index pickup_x pickup_y delivery_x delivery_y revenue
# carrier_index = line index of carriers above
0 -50 362 33 -82 913.383 4
0 195 -96 120 -28 212.475 7
0 185 23 134 205 388.021 8
0 94 172 212 227 270.377 6
0 337 67 93 249 618.802 4
0 94 82 -11 -52 350.476 6
0 -140 268 316 237 924.105 7
0 110 237 222 363 347.165 3
0 90 -58 -133 305 862.052 10
0 35 305 195 75 570.357 2
0 -43 232 23 351 282.154 3
0 133 234 218 434 444.626 8
0 103 171 156 -17 400.656 1
0 -47 -35 155 220 660.627 10
0 245 -22 236 394 842.195 4
1 18 127 -177 266 488.94 7
1 -276 126 -126 159 317.174 1
1 -36 180 -245 322 515.351 7
1 -50 26 -66 -11 90.6226 3
1 -256 250 -47 201 439.334 7
1 -98 131 -75 173 105.771 2
1 -150 17 -344 75 414.969 9
1 50 152 121 144 152.899 8
1 -273 303 -14 146 615.739 10
1 9 385 -22 -49 880.211 3
1 -152 249 -72 173 230.69 1
1 -100 173 -85 144 75.2993 3
1 105 311 -155 28 778.607 4
1 -206 185 -118 210 192.964 8
1 78 -45 59 268 637.152 6
2 34 -8 3 -165 330.062 10
2 199 163 -30 100 485.016 3
2 -152 -100 120 -223 607.036 3
2 -147 249 52 64 553.419 9
2 -2 4 -5 267 536.034 10
2 34 207 291 -55 744.011 8
2 -21 -55 5 93 310.533 4
2 -147 -30 -15 -227 484.27 7
2 -6 -245 -229 -84 560.091 2
2 168 -120 -205 11 800.671 3
2 -104 -164 112 130 739.635 10
2 151 -195 -3 279 1006.78 4
2 0 70 235 -105 596.003 2
2 70 103 76 -68 352.21 10
2 -94 -30 222 165 752.647 5
