# VRP parameters: V = num of vehicles, L = max_load, T = max_tour_length
V 3
L 15
T 1000

# carrier depots: C x y
# one line per carrier, number of carriers defined by number of lines
C 200 0
C 100 173
C -99 173
C -200 0
C -100 -173
C 100 -173

# requests: carrier_index pickup_x pickup_y delivery_x delivery_y revenue
# carrier_index = line index of carriers above
0 213 3 201 -35 89.6994 4
0 291 -15 219 -9 154.499 7
0 219 -19 183 15 109.035 8
0 276 -82 188 -79 186.102 6
0 170 16 179 -25 93.9524 4
0 170 50 187 -58 228.66 6
0 259 -109 219 1 244.094 7
0 98 -37 245 -40 304.061 3
0 83 -48 204 -12 262.484 10
0 224 10 266 3 95.1587 2
0 121 116 251 -101 515.921 3
0 147 22 231 -69 257.685 8
0 304 30 166 -73 354.401 1
0 254 -45 257 -101 122.161 10
0 303 7 163 -4 290.863 4
1 -31 133 24 171 143.701 7
1 78 107 10 120 148.463 1
1 126 81 207 156 230.78 7
1 175 256 106 180 215.3 3
1 42 207 153 184 236.716 7
1 117 146 46 146 152 2
1 122 160 83 116 127.593 9
1 39 203 84 181 110.18 8
1 77 35 98 180 303.026 10
1 117 188 187 270 225.629 3
1 57 158 38 216 132.066 1
1 216 124 69 302 471.706 3
1 108 79 118 188 228.916 4
1 85 264 246 183 370.455 8
1 62 223 155 226 196.097 6
2 -99 197 -106 194 25.2315 10
2 -146 105 -131 181 164.932 3
2 -93 146 -109 129 56.6905 3
2 -97 182 -121 211 85.2861 9
2 -97 189 -6 153 205.724 10
2 -99 173 -91 127 103.381 8
2 -100 278 -142 193 199.621 4
2 -228 160 -110 185 251.238 7
2 -75 165 15 190 196.815 2
2 -181 126 -102 106 172.985 3
2 -134 182 -50 87 263.622 10
2 -82 214 -103 176 96.8332 4
2 -132 70 -98 154 191.24 2
2 -129 175 -60 201 157.472 10
2 -125 185 -14 230 249.55 5
3 -269 -86 -301 93 373.676 8
3 -206 57 -244 -2 150.357 9
3 -132 -19 -218 34 212.04 5
3 -251 20 -165 -35 214.167 6
3 -74 49 -187 140 300.172 1
3 -337 -58 -313 78 286.203 4
3 -282 -36 -197 3 197.04 7
3 -179 -87 -203 16 221.518 2
3 -205 72 -95 9 263.527 1
3 -247 97 -311 69 149.714 7
3 -249 -65 -94 -16 335.122 4
3 -182 118 -155 17 219.093 3
3 -197 -9 -162 -87 180.985 1
3 -79 -79 -181 8 278.127 7
3 -182 11 -246 -98 262.8 2
4 -152 -90 -76 -295 447.269 6
4 -115 -245 36 -232 313.117 6
4 -167 -129 -77 -289 377.151 5
4 -182 -227 -60 -119 335.871 8
4 -131 -212 -109 -155 132.197 7
4 -194 -102 -171 -105 56.3897 6
4 -31 -99 -115 -159 216.456 7
4 -133 -291 -21 -187 315.68 10
4 -28 -194 -130 -212 217.152 4
4 -87 -183 -58 -244 145.085 8
4 -63 -150 -43 -300 312.655 5
4 -137 -142 -190 -237 227.568 6
4 -186 -202 -134 -315 258.781 3
4 -103 -160 -21 -289 315.712 6
4 -86 -91 -105 -236 302.479 5
5 199 -203 219 -182 68 8
5 -4 -125 27 -200 172.308 5
5 76 -209 63 -174 84.6726 5
5 1 -140 70 -279 320.368 4
5 -32 -234 136 -317 384.769 1
5 176 -97 0 -273 507.803 8
5 111 -178 44 -75 255.748 9
5 133 -219 138 -205 39.7321 7
5 100 -173 73 -62 238.473 9
5 99 -245 -35 -204 290.264 9
5 100 -173 172 -272 254.826 5
5 134 -195 149 -259 141.469 4
5 92 -167 20 -256 238.954 2
5 130 -186 129 -302 242.009 5
5 135 -152 46 -160 188.718 10
