# VRP parameters: V = num of vehicles, L = max_load, T = max_tour_length
V 3
L 15
T 1000

# carrier depots: C x y
# one line per carrier, number of carriers defined by number of lines
C -200 -100
C -200 100
C 0 -100
C 0 100
C 200 -100
C 200 100

# requests: carrier_index pickup_x pickup_y delivery_x delivery_y revenue
# carrier_index = line index of carriers above
0 -145 -176 -201 -95 206.947 4
0 -85 -6 -226 -57 309.88 7
0 -102 -179 -164 -201 141.575 8
0 -70 -88 -254 -25 398.973 6
0 -143 -44 -293 -215 464.933 4
0 -195 -68 -67 -52 267.992 6
0 -213 -60 -109 -33 224.895 7
0 -157 37 -215 -51 220.789 3
0 -193 -93 -256 -41 173.377 10
0 -129 -121 -233 -65 246.237 2
0 -202 27 -167 -30 143.776 3
0 -223 -197 -254 -57 296.782 8
0 -271 -143 -85 -62 415.744 1
0 -204 -114 -72 -41 311.682 10
0 -185 31 -139 -137 358.368 4
1 -239 2 -196 -8 98.295 7
1 -285 174 -204 87 247.739 1
1 -205 108 -171 105 78.2642 7
1 -165 62 -275 89 236.53 3
1 -109 27 -243 210 463.63 7
1 -170 -11 -107 212 473.457 2
1 -200 150 -124 163 164.208 9
1 -141 109 -136 -25 278.186 8
1 -208 -7 -226 210 445.491 10
1 -277 163 -101 2 487.062 3
1 -96 61 -188 210 360.228 1
1 -270 79 -226 -44 271.266 3
1 -105 51 -176 184 311.529 4
1 -208 58 -205 40 46.4966 8
1 -225 120 -308 25 262.301 6
2 -3 -99 102 -30 261.285 10
2 -91 11 -66 -124 284.591 3
2 -8 -175 -42 -18 331.279 3
2 26 -231 37 -31 410.605 9
2 7 -87 -58 -109 147.244 10
2 -34 -59 46 -118 208.806 8
2 129 -63 -102 -75 472.623 4
2 -33 -101 3 -201 222.565 7
2 -59 -234 95 -105 411.781 2
2 0 -100 139 -72 293.584 3
2 50 -33 -114 -131 392.099 10
2 73 -201 61 24 460.64 4
2 95 -212 76 14 463.595 2
2 75 -129 26 -123 108.732 10
2 -37 -67 -125 -58 186.918 5
3 0 59 1 99 90.025 8
3 -17 -2 -11 181 376.197 9
3 -105 135 64 121 349.158 5
3 -58 118 -88 100 79.9714 6
3 -115 78 -81 157 182.012 1
3 -41 -43 0 100 307.523 4
3 12 25 3 94 149.169 7
3 57 232 -64 222 252.825 2
3 105 94 49 3 223.701 1
3 87 203 -83 140 372.596 7
3 -28 195 -5 82 240.634 4
3 -80 -12 -98 140 316.124 3
3 -6 89 43 56 128.152 1
3 -13 226 7 132 202.208 7
3 83 57 108 183 266.912 2
4 157 -33 65 -121 264.621 6
4 276 -111 264 -81 74.622 6
4 153 -211 84 -162 179.257 5
4 222 -40 268 -226 393.208 8
4 169 -14 185 -131 246.178 7
4 263 18 329 -170 408.497 6
4 163 -128 245 -48 239.12 7
4 293 -93 268 -181 192.964 10
4 333 -71 271 28 243.624 4
4 177 -105 199 -106 54.0454 8
4 171 -221 182 -115 223.138 5
4 119 -157 261 -82 331.179 6
4 188 -59 215 -117 137.953 3
4 163 -5 160 -75 150.129 6
4 200 11 169 -148 333.988 5
5 139 64 203 100 156.86 8
5 221 95 194 82 69.9333 5
5 167 206 185 114 197.489 5
5 188 190 219 191 72.0322 4
5 73 83 200 100 266.265 1
5 125 103 203 130 175.082 8
5 200 100 194 240 290.257 9
5 286 60 240 9 147.361 7
5 197 121 126 78 176.012 9
5 170 222 144 216 63.3667 9
5 180 105 226 87 108.793 5
5 189 92 215 77 70.0333 4
5 248 164 110 87 326.057 2
5 140 43 117 82 100.554 5
5 186 95 181 167 154.347 10
