# VRP parameters: V = num of vehicles, L = max_load, T = max_tour_length
V 3
L 10
T 1950

# carrier depots: C x y
# one line per carrier, number of carriers defined by number of lines
C 100 173
C -100 173
C 0 0

# requests: carrier_index pickup_x pickup_y delivery_x delivery_y revenue
# carrier_index = line index of carriers above
0 31 148 -70 16 342.415 4
0 -55 -35 93 167 510.831 7
0 298 189 82 294 490.337 8
0 361 62 232 313 574.418 6
0 134 190 29 255 256.982 4
0 -99 134 265 103 740.635 6
0 175 191 125 205 113.846 7
0 117 165 159 -40 428.516 3
0 -78 226 -34 77 320.722 10
0 136 424 54 13 848.2 2
0 -39 181 129 -4 509.796 3
0 182 330 105 172 361.528 8
0 133 -124 -6 94 527.088 1
0 297 -51 12 157 715.66 10
0 -100 134 124 185 469.465 4
1 53 221 -137 288 412.934 7
1 3 164 188 96 404.203 1
1 9 -68 -11 -75 52.3792 7
1 107 168 -360 278 969.56 3
1 42 -55 -88 65 363.836 7
1 71 288 -112 394 432.966 2
1 -145 135 -82 258 286.391 9
1 -23 -5 -203 444 977.473 8
1 -164 169 -137 -31 413.629 10
1 -6 57 -126 188 365.308 3
1 119 239 -200 -79 910.855 1
1 39 372 -126 162 544.135 3
1 -66 145 121 105 392.46 4
1 -252 275 -160 375 281.765 8
1 -261 389 -87 235 474.724 6
2 92 138 -19 17 338.402 10
2 -219 19 43 253 712.567 3
2 -297 20 -34 -235 742.65 3
2 8 34 106 -48 265.562 9
2 173 -129 274 110 528.93 10
2 36 79 38 -263 694.012 8
2 -211 -111 -7 19 493.802 4
2 -63 273 -120 40 489.742 7
2 -160 109 72 -170 735.713 2
2 -151 -190 221 -84 783.615 3
2 129 23 167 21 86.1052 10
2 -177 71 -1 3 387.359 4
2 74 -224 -119 16 625.951 2
2 29 17 -14 101 198.733 10
2 15 2 -69 224 484.721 5
