FID,ABSCHNITT_ZUGANG_STR,ACD,AP_TIMESTAMP_MODIFY,BST_BEZEICHNUNG,BST_NUMMER,BST_NUMMER_ALPHA,BST_NUMMER_NUM,BST_TRENNZEICHEN,BST_TRENNZ_KURZTEXT,EDGEOBJECTID_ZUGANG_STR,EXTERNALORGCODE,GEBADR_ANZEIGEN_J_N,GEBADR_REGIONALCODE,GEB_BAUBLOCK,GEB_BAUBLOCK_ID,GEB_BEZEICHNUNG,GEB_BEZIRK,GEB_NAMECAT,GEB_NUMMER,GEB_NUMMER_ALPHA,GEB_NUMMER_NUM,GEB_OBJEKTID,GEB_STATUS,GEB_STATUS_KURZTEXT,GEB_TIMESTAMP_MODIFY,GEB_TRENNZEICHEN,GEB_TRENNZ_KURZTEXT,GEB_WINKEL,GEB_X,GEB_Y,HAUPT_IDENT_PSEUDO,LAGE_ZU_ADR,LAGE_ZU_ADR_TXT,NAME,NAME_BST,NAME_BST_GEB,NAME_GEB,NAME_ONR,NAME_ONR_BST_GEB,NAME_STR,OBJECTID,OBJEKT_ID,OBJEKTID_NAME_STR,ON_BIS_ALPHA,ON_BIS_NUM,ONR_BIS,ONR_VON,ON_VON_ALPHA,ON_VON_NUM,PLATZKENNZEICHEN,PLZ,SCD_NAME_STR,SCD_ZUGANG_STR,SE_ANNO_CAD_DATA,geometry,STRABS_ZUGANG_STR,STRASSENSEITE,TOPOGR_NAME_STR,UEBERACD,ZUGADR_ONR_KGNUM,ZUGADR_ONR_STAMMNR,ZUGADR_ONR_TEILNR,ZUGADR_REGIONALCODE,ZUGADR_TYP,ZUGANG_MOEGLICH_J_N,ZUG_BEZIRK,ZUG_OBJEKTID,ZUG_TIMESTAMP_MODIFY,ZUG_TRENNZEICHEN,ZUG_TRENNZ_KURZTEXT,ZUG_WINKEL,ZUG_X,ZUG_Y,ABLAUFDATUM
ADRESSENOGD.fid--6deaaebc_17da472a163_-7def,2009,132627,2007-07-24,,,,,,,10042474,90001,1,AT91101,11120011,10014960,,11,8012,,,,25664284,d,definitiv,2008-12-10,0, ,337.75,11392.49,335718.94,I, ,Normal,Sendnergasse 110,, ,,110,110,Sendnergasse,236655898,10239505,10004383,,,,110,,110.0,2.0,1110,4481,4481,,POINT (48.15981172474919 16.48527345850085),4481002009,1.0,G  ,,,,,AT91101,0,1,11,25007107,2008-12-10,0, ,82.26,11367.53,335708.72,
ADRESSENOGD.fid-705841fe_17da474b376_134e,1009,250522,2021-05-27,,,,,,,10046471,90001,1,AT92201,22230045,10021820,,22,8012,6,,6.0,25774781,i,in Bau,2021-05-27,6,Haus,333.92999268,11571.74,341995.03,H, ,Normal,Zachgasse 4 Haus 6,, Haus 6,Haus 6,4,4 Haus 6,Zachgasse,236602200,25774793,10005298,,,,4,,4.0,2.0,1220,5408,5408,,POINT (48.2162508637875 16.48784944457817),5408001009,2.0,G  ,,,,,AT92201,0,1,22,25076809,2008-12-10,0, ,333.93,11603.87,342042.55,
ADRESSENOGD.fid--6deaaebc_17da472a163_-9a2,1019,37142,2012-08-21,,,,,,,18831690,90001,1,AT91301,13071001,10015851,,13,8012,23,,23.0,25536503,d,definitiv,2012-08-21,6,Haus,49.22999954,-2819.31,337556.88,H, ,Normal,Alban-Berg-Weg 2 Haus 23,, Haus 23,Haus 23,2,2 Haus 23,Alban-Berg-Weg,236644253,10109384,10005409,,,,2,,2.0,2.0,1130,5522,5522,,POINT (48.17642995333271 16.29422810747872),5522001019,2.0,G  ,,,,,AT91301,0,1,13,25139408,2012-08-21,0, ,43.37,-2804.59,337558.55,
ADRESSENOGD.fid-705841fe_17da474b376_227a,2009,150666,2007-07-24,,,,,,,10048002,90001,1,AT92201,22070084,10021092,,22,8012,30,,30.0,25547392,d,definitiv,2008-12-10,2,/,326.10998535,10703.95,345605.31,I, ,Normal,Korianderweg 5/30,,/30,/30,5,5/30,Korianderweg,236656161,10264491,10006117,,,,5,,5.0,2.0,1220,6294,6294,,POINT (48.24873345080299 16.47626059207584),6294002009,1.0,G  ,214226.0,,,,AT92201,0,1,22,25108604,2008-12-10,0, ,324.52,10710.12,345584.11,
ADRESSENOGD.fid-705841fe_17da473f28d_4da2,10509,108346,2007-07-24,,,,,,,10038532,90001,1,AT92101,21055005,10019766,,21,8012,32,,32.0,25648804,d,definitiv,2008-12-10,6,Haus,18.32999992,8557.75,348489.81,I, ,Normal,Oswald-Redlich-Straße 27(HAUS 32),, Haus 32,Haus 32,27,27(HAUS 32),Oswald-Redlich-Straße,236638995,10209891,10003452,,,,27,,27.0,2.0,1210,3529,3529,,POINT (48.27470568745278 16.44741822864178),3529010509,1.0,G  ,,,,,AT92101,0,1,21,25120235,2008-12-10,0, ,14.82,8572.11,348454.55,
ADRESSENOGD.fid-705841fe_17da474b376_1669,3009,200292,2007-07-24,,,,,,,10035574,90001,1,AT92201,22040021,10020853,,22,8012,,,,25537171,d,definitiv,2008-12-10,0, ,75.68000031,14078.27,343518.88,H, ,Normal,Lehenstraße 43A,, ,,43A,43A,Lehenstraße,236621983,10317749,10002754,,,,43A,A,43.0,2.0,1220,2820,2820,,POINT (48.22990558195558 16.52162796398607),2820003009,1.0,G  ,,,,,AT92201,0,1,22,25019935,2008-12-10,0, ,75.68,14116.96,343501.02,
ADRESSENOGD.fid--6deaaebc_17da467791b_66da,5009,161604,2007-07-24,,,,,,,10044739,90001,1,AT91101,11081013,10014826,,11,8012,27,,27.0,25642208,d,definitiv,2008-12-10,6,Haus,42.61000061,7201.38,337376.25,H, ,Normal,Unter der Kirche 13(HAUS 27),, Haus 27,Haus 27,13,13(HAUS 27),Unter der Kirche,236450515,10277636,10004911,,,,13,,13.0,2.0,1110,5013,5013,,POINT (48.17477565336955 16.42896447985193),5013005009,1.0,G  ,,,,,AT91101,0,1,11,25126769,2008-12-10,0, ,44.02,7160.77,337281.95,
ADRESSENOGD.fid-705841fe_17da474b376_-103a,1019,168353,2007-07-24,,,,,,,10045735,90001,1,AT92201,22101003,10021288,,22,8012,24,,24.0,25609535,d,definitiv,2008-12-10,6,Haus,327.97000122,6975.82,345232.58,H, ,Normal,Weinwurmweg 1(HAUS 24),, Haus 24,Haus 24,1,1(HAUS 24),Weinwurmweg,236578022,10285596,10005118,,,,1,,1.0,2.0,1220,5225,5225,,POINT (48.245431653408 16.42605528623057),5225001019,1.0,G  ,,,,,AT92201,0,1,22,25036836,2008-12-10,0, ,327.97,6920.19,345181.25,
ADRESSENOGD.fid-705841fe_17da459ca88_5d47,1009,95984,2007-07-24,,,,,,,10030358,90001,1,AT91701,17039008,10017991,,17,8012,,,,25521246,d,definitiv,2008-12-10,0, ,89.37000275,-578.3,341910.69,H, ,Normal,Gschwandnergasse 4-6,, ,,4-6,4-6,Gschwandnergasse,236560279,10193465,10001608,,6.0,6,4,,4.0,2.0,1170,1657,1657,,POINT (48.21559184228456 16.32435197289427),1657001009,2.0,G  ,,,,,AT91701,0,1,17,25074461,2008-12-10,1,-,270.1,-581.54,341921.46,
ADRESSENOGD.fid--6deaaebc_17da467791b_-da1,5009,16448,2007-07-24,,,,,,,10039597,90001,1,AT91001,10027001,10013513,,10,8012,,,,25628688,d,definitiv,2008-12-10,0, ,344.3500061,3949.34,337165.42,H, ,Normal,Puchsbaumgasse 19,, ,,19,19,Puchsbaumgasse,236373202,10078280,10003709,,,,19,,19.0,2.0,1100,3789,3789,,POINT (48.17290659709804 16.38523677687042),3789005009,1.0,G  ,,,,,AT91001,0,1,10,25109754,2008-12-10,0, ,343.16,3956.77,337167.87,
